file,title,type,courses,subject,sitting,url,status,notes
4047Q2 Frs Specimen.pdf,Family and Religious Studies — Specimen 4047/2,past-papers,O' Level,Family and Religious Studies,Specimen,,pending_drive_connection,"Cover code is 4047/2, but printed subtitle says Paper 1; preserve the code and flag this inconsistency."
A Practical Approach To Family And Religious Studies Form 1.pdf,A Practical Approach to Family and Religious Studies — Form 1,library,Form 1,Family and Religious Studies,,,pending_drive_connection,"Authors: Ladislaus Kutekwa, Prosper Mataruse, Washington Chikunda. Supplied PDF contains 24 pages; do not imply it is the complete textbook."
Communication And Computer Applications Qns.pdf,Communication and Computer Applications — March/April 2024,past-papers,Food Science and Technology; Horticulture,Communication and Computer Applications,March/April 2024,,pending_drive_connection,National Certificate; both programmes are stated on the cover.
Eet Nov 2016.pdf,"Safety, Health, Environment & Quality Management — June 2023",past-papers,Instrumentation and Control Systems,"Safety, Health, Environment & Quality Management",June 2023,,pending_drive_connection,National Certificate. Filename Eet Nov 2016 is incorrect. All three rendered pages match Sheq Insru.pdf; use one catalogue entry and reuse its link.
Electrics And Ep.pdf,Electrical and Electronics Fundamentals — June 2023,past-papers,NC Auto Electrics,Electrical & Electronics Fundamentals,June 2023,,pending_drive_connection,National Certificate in Automobile Electrics and Electronics; mapped to existing NC Auto Electrics course.
Eng Maths 1.pdf,Engineering Mathematics — July/August 2021,past-papers,Automotive Engineering,Engineering Mathematics,July/August 2021,,pending_drive_connection,National Certificate.
Eng Scie Nov 2019 Qp 1.pdf,Automotive Engineering Science — October/November 2019,past-papers,NC Auto Electrics; Motorcycle Mechanics; Precision Machining; Motor Vehicle Mechanics; Diesel Plant Fitting; Motor Vehicle Body Repairs,Automotive Engineering Science,October/November 2019,,pending_drive_connection,National Certificate; all six programmes listed on cover.
Engineering Drawing 1 Nov Dec 2022 Hexco Examination.pdf,Engineering Drawing I — November/December 2022,past-papers,Fabrication Engineering,Engineering Drawing I,November/December 2022,,pending_drive_connection,National Certificate.
Engines And Plant Maintenance 2025.pdf,Engine and Plant Maintenance — November/December 2025,past-papers,Diesel Plant Fitting,Engine and Plant Maintenance,November/December 2025,,pending_drive_connection,National Certificate.
Esd Past Exam Questions And Answers.pdf,Entrepreneurship Skills Development — Past Exam Questions and Answers,past-papers,NC — Common Subjects,Entrepreneurship Skills Development,Multiple sittings,,pending_drive_connection,"104-page compilation. First paper is March/April 2020, 402/18/S01, National Certificate, all levels. Check internal papers before assigning a full date range."
Family And Religious Studies Syllabus Form1 4.pdf,Family and Religious Studies Syllabus — Forms 1–4 (2024–2030),syllabi,Form 1; Form 2; Form 3; Form 4,Family and Religious Studies,2024–2030,,pending_drive_connection,
Form 1 4 Accounting Syllabus Min (Pages 3-24).pdf,"Principles of Accounting Syllabus — Forms 1–4 (Excerpt, pages 3–24)",syllabi,Form 1; Form 2; Form 3; Form 4,Principles of Accounting,,,pending_drive_connection,First page is blank; page 2 confirms syllabus and forms. Prefer full version for catalogue; this excerpt overlaps Form 1 4 Accounting Syllabus Min.pdf.
Form 1 4 Accounting Syllabus Min.pdf,Principles of Accounting Syllabus — Forms 1–4 (2015–2022),syllabi,Form 1; Form 2; Form 3; Form 4,Principles of Accounting,2015–2022,,pending_drive_connection,Actual syllabus cover is PDF page 2. Ignore university category on third-party front page.
Frs Marking Scheme 2020 November Paper 2.pdf,Family and Religious Studies — November 2020 Paper 2 Marking Scheme,past-papers,,Family and Religious Studies,November 2020,,pending_drive_connection,Level and board are not stated on inspected pages. Verify against the question paper before publishing; do not guess O Level or A Level.
Grade 6 Maths Paper 2.pdf,Mathematics — Grade 6 July 2015 Paper 2,past-papers,Grade 6,Mathematics,July 2015,,pending_drive_connection,Mid-year examination; not a ZIMSEC-issued paper.
Grade 6 Shona Paper 1.pdf,Shona — Grade 6 Mid-year 2022 Paper 1,past-papers,Grade 6,Shona,Mid-year 2022,,pending_drive_connection,"Footer verifies grade, year and paper despite overlapping cover graphics."
March 2023 Drawing.pdf,Automotive Engineering Drawing — March/April 2023,past-papers,NC Auto Electrics; Motor Vehicle Mechanics; Precision Machining; Diesel Plant Fitting; Motor Vehicle Body Repairs; Motorcycle Mechanics,Automotive Engineering Drawing,March/April 2023,,pending_drive_connection,National Certificate; all six programmes listed on cover.
Maths And Science Question Papers.pdf,Engineering Mathematics and Science — Question Paper Collection,past-papers,Automotive Engineering,Engineering Mathematics and Science,Multiple sittings,,pending_drive_connection,Pages 2 and 40 identify engineering mathematics and engineering science/mathematics. Course is provisional from 346/13/S08 code matching the automotive paper; inspect internal covers before publishing.
Maths Nov 2015.pdf,Mathematics — Electrical Engineering October/November 2015,past-papers,NC Electrical Engineering,Mathematics,October/November 2015,,pending_drive_connection,National Certificate in Electrical Engineering; do not assume a narrower electrical specialism.
N2021 O Level Geography P2.pdf,Geography — O Level November 2021 Paper 2,past-papers,O' Level,Geography,November 2021,,pending_drive_connection,
Nass June 23 Plumtree.pdf,National Studies — June 2023 (Plumtree copy),past-papers,NC — Common Subjects,National Studies,June 2023,,pending_drive_connection,"National Certificate, all levels. PDF has 12 pages although first exam says 2; inspect remainder before describing as one paper."
Nc Engineering Mathematics Red Spot 2018 3.pdf,The Red Spot — National Certificate Engineering Mathematics Question and Answer Guide,library,NC Engineering,Engineering Mathematics,,,pending_drive_connection,Cover confirms National Certificate engineering courses; year 2018 is filename-only and not yet verified.
O Geography Syllabus.pdf,Geography O Level Syllabus — 2013–2017,syllabi,Form 3; Form 4,Geography,2013–2017,,pending_drive_connection,Historical syllabus; keep dates visible.
Revised Agriculture Syllabus F1 4.pdf,Revised Agriculture Syllabus — Forms 1–4 (2024–2030),syllabi,Form 1; Form 2; Form 3; Form 4,Agriculture,2024–2030,,pending_drive_connection,
Sheq Insru.pdf,"Safety, Health, Environment & Quality Management — June 2023",past-papers,Instrumentation and Control Systems,"Safety, Health, Environment & Quality Management",June 2023,,pending_drive_connection,Confirmed same rendered content as Eet Nov 2016.pdf across all three pages. Keep one catalogue entry.
Zimsec Grade 7 General Paper Past Exam Paper 3 Set 18.pdf,General Paper — Grade 7 Paper 3 Set 18,past-papers,Grade 7,General Paper,,,pending_drive_connection,"Title says ZIMSEC but first page is branded Edufrican; treat as a practice resource, not a verified official sitting. No year stated."
