file,script,status
"public/sounds/ecd/maths/present-count/intro.wav","[excited gasp] Gerald has brought a pile of presents! Tap a box to open it, then touch each toy to count. Here we go!","missing"
"public/sounds/ecd/maths/present-count/duck.wav","[rustling paper, delighted giggle] Ooh! Just one little duck. Touch him and count with me.","missing"
"public/sounds/ecd/maths/present-count/prompts/duck.wav","Touch the duck. How many ducks are in the box?","missing"
"public/sounds/ecd/maths/present-count/teddy.wav","[happy gasp] Teddy bears! Touch one, then the other, and count them out loud.","missing"
"public/sounds/ecd/maths/present-count/prompts/teddy.wav","Touch each teddy. How many teddies?","missing"
"public/sounds/ecd/maths/present-count/ball.wav","[bouncy laugh] Balls! Bouncy, bouncy balls. Touch every single one as you count.","missing"
"public/sounds/ecd/maths/present-count/prompts/ball.wav","Touch each ball. How many balls are there?","missing"
"public/sounds/ecd/maths/present-count/car.wav","[car noises, giggles] Brrrm! Little cars. Touch them one at a time — do not miss one!","missing"
"public/sounds/ecd/maths/present-count/prompts/car.wav","Touch each car. How many cars?","missing"
"public/sounds/ecd/maths/present-count/cupcake.wav","[gasp, then a slurp] Cupcakes! Yum. Let us count every one before we eat them.","missing"
"public/sounds/ecd/maths/present-count/prompts/cupcake.wav","Touch each cupcake. How many cupcakes?","missing"
"public/sounds/ecd/maths/present-count/drum.wav","[drum roll, laughs] Boom, boom! Look at all these drums. Touch each one and count.","missing"
"public/sounds/ecd/maths/present-count/prompts/drum.wav","Touch each drum. How many drums?","missing"
"public/sounds/ecd/maths/star-wish/intro.wav","[soft, magical whisper] Look up! The wishing stars are out. Touch them in counting order and your wish will come true.","missing"
"public/sounds/ecd/maths/star-wish/three.wav","[whispers] Three little stars are twinkling. Start at one.","missing"
"public/sounds/ecd/maths/star-wish/prompts/three.wav","Touch star one, then two, then three.","missing"
"public/sounds/ecd/maths/star-wish/four.wav","[twinkling giggle] Four stars now, and they are hiding all over the sky!","missing"
"public/sounds/ecd/maths/star-wish/prompts/four.wav","Find one, two, three, four — in order!","missing"
"public/sounds/ecd/maths/star-wish/five.wav","[amazed] Five wishing stars! Read the number on each one before you touch it.","missing"
"public/sounds/ecd/maths/star-wish/prompts/five.wav","Touch them one, two, three, four, five.","missing"
"public/sounds/ecd/maths/star-wish/five-high.wav","[playful] These ones are being cheeky and hiding. Look carefully at the numbers!","missing"
"public/sounds/ecd/maths/star-wish/prompts/five-high.wav","Which star says one? Start there.","missing"
"public/sounds/ecd/maths/trace-numbers/intro.wav","[cheerful] Time to write our numbers! Put your finger on the big green dot and follow the dashes. I will help you.","missing"
"public/sounds/ecd/maths/trace-numbers/zero.wav","[softly] Zero! Zero means none at all. Start at the top and go all the way round.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/zero.wav","Trace zero. Round and round, back to the top.","missing"
"public/sounds/ecd/maths/trace-numbers/one.wav","[bright] Number one! One is easy — a little slide down, then straight down.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/one.wav","Trace the number one. Down, down, down!","missing"
"public/sounds/ecd/maths/trace-numbers/two.wav","[playful] Number two! Around like a swan, then slide down and across the water.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/two.wav","Trace the number two. Around, down, and across!","missing"
"public/sounds/ecd/maths/trace-numbers/three.wav","[giggles] Number three! Two little tummies, one on top of the other.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/three.wav","Trace three. Around the top, around the bottom!","missing"
"public/sounds/ecd/maths/trace-numbers/four.wav","[counting rhythm] Number four! Down, across… then lift your finger and go down again.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/four.wav","Trace four. Down, across, lift, down!","missing"
"public/sounds/ecd/maths/trace-numbers/five.wav","[bright] Number five! Down the back, round the big tummy, then a hat on top.","missing"
"public/sounds/ecd/maths/trace-numbers/prompts/five.wav","Trace five. Down, around, and a hat!","missing"
"public/sounds/ecd/maths/wake-up/intro.wav","[whispers] Shhh… the Yippies are all fast asleep. [comic snore] We need to wake up just the right number. Poke them gently!","missing"
"public/sounds/ecd/maths/wake-up/one.wav","[very quiet] Start with just one Yippie. One little poke!","missing"
"public/sounds/ecd/maths/wake-up/prompts/one.wav","Wake up one Yippie, then ring the bell.","missing"
"public/sounds/ecd/maths/wake-up/two.wav","[whispering] Two Yippies are wanted for breakfast. Just two!","missing"
"public/sounds/ecd/maths/wake-up/prompts/two.wav","Wake up two Yippies, then ring the bell.","missing"
"public/sounds/ecd/maths/wake-up/three.wav","[whispering, giggling] Three Yippies are going out to play. Only three!","missing"
"public/sounds/ecd/maths/wake-up/prompts/three.wav","Wake up three Yippies, then ring the bell.","missing"
"public/sounds/ecd/maths/wake-up/four.wav","[excited whisper] Four Yippies for the band! Count as you poke.","missing"
"public/sounds/ecd/maths/wake-up/prompts/four.wav","Wake up four Yippies, then ring the bell.","missing"
"public/sounds/ecd/maths/wake-up/five.wav","[whispering] Five Yippies are going swimming. Careful — that is nearly all of them!","missing"
"public/sounds/ecd/maths/wake-up/prompts/five.wav","Wake up five Yippies, then ring the bell.","missing"
"public/sounds/ecd/maths/wake-up/six.wav","[laughs] Breakfast is ready! This time wake up every single one.","missing"
"public/sounds/ecd/maths/wake-up/prompts/six.wav","Wake up six Yippies, then ring the bell.","missing"
"public/sounds/ecd/maths/subitise/intro.wav","[urgent, playful] Oh no! The kittens are stuck in cages. [meow] Look quickly, say how many, and the door pops open!","missing"
"public/sounds/ecd/maths/subitise/two.wav","[playful] Start with two dots. Quick eyes!","missing"
"public/sounds/ecd/maths/subitise/prompts/two.wav","How many dots?","missing"
"public/sounds/ecd/maths/subitise/three.wav","[quick and bright] Quick eyes ready? Do not count — just look!","missing"
